a11y-audit.md                                           | "扫描前端项目中 WCAG 2.2 无障碍违规并修复。用法: /a11y-audit [路径]"
background-task-analysis-report.md                      | DogeCode 长程任务系统详细技术报告
batch-full-han.md                                       | 批量汉化所有 commands/agents/plugins/skills 目录下未翻译的文件
batch-han-skills.md                                     | 批量汉化技能 SKILL.md 的 description 字段（英文→中文）
bmad-init.md                                            | 
bmad-prd.md                                             | 
bmad-sprint.md                                          | 
brainstorm.md                                           | "已弃用 — 请改用 superpowers:brainstorming 技能"
bug-fix.md                                              | Streamlines bug fixing by creating a GitHub issue first, then a feature branch for implementing and thoroughly testing the solution before merging.
build-and-run-cpp-app.md                                | 创建或更新 macOS 构建/运行脚本并执行
build-fix.md                                            | 
c4-model.md                                             | 
cancel-ralph.md                                         | "取消当前活跃的 Ralph Loop"
ccg.md                                                  | "OMC ccg 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:ccg 命令"
changelog.md                                            | "从 Git 历史生成变更日志并校验 Conventional Commits。用法: /changelog <generate|lint> [options]"
chaos-experiment.md                                     | 交互式向导 — 设计与验证混沌工程实验
chaos.md                                                | 
checklist.md                                            | 根据用户需求为当前功能生成自定义检查清单
checkpoint.md                                           | 
cherry-pick.md                                          | 将特定工作项挑选到目标环境
ci_commit.md                                            | 为本次会话变更创建 Git 提交，消息清晰且原子化
ci_describe_pr.md                                       | 生成遵循仓库模板的完整 PR 描述
clarify.md                                              | 通过最多 5 个高度针对性澄清问题，找出当前功能规范中未明确之处，并将答案回写进规范
claw.md                                                 | 启动 NanoClaw 智能体 (Agent) REPL — 一个由 claude CLI 驱动的持久化、会话感知 (session-aware) 的 AI 助手。
clean_gone.md                                           | 清理所有标记为 [gone] 的 Git 本地分支（远程已删除但本地仍存在），包括关联的 worktree
cleanup-branches.md                                     | 清理已合并的分支
code-review.md                                          | 
code-to-prd.md                                          | "将前端代码库逆向工程为 PRD。用法: /code-to-prd [路径]"
commit-and-pr.md                                        | 提交更改、运行检查并创建拉取请求
commit-push-pr.md                                       | 提交、推送并打开拉取请求
commit.md                                               | 创建一个 Git 提交
compact.md                                              | "为手动 Claude Code /compact 切换准备 OMC 上下文"
competitive-matrix.md                                   | "构建竞品对比矩阵，含加权评分与差距分析。用法: /competitive-matrix <analyze> [options]"
complete.md                                             | 
configure-notifications.md                              | "OMC configure-notifications 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:configure-notifications 命令"
configure.md                                            | 交互式启禁用 hookify 规则
constitution.md                                         | 从交互式或给定的原则输入创建或更新项目宪法，确保所有依赖模板保持同步。
context-budget.md                                       | Legacy slash-entry shim for the context-budget skill. Prefer the skill directly.
converge.md                                             | 评估代码库相对于功能规范、计划和任务的情况，将剩余未构建的作业作为新任务追加到 tasks.md 中，以便实施完成。
cost-report.md                                          | Generate a local Claude Code cost report from the ECC cost-tracker metrics log.
cost.md                                                 | 
cpp-build.md                                            | Fix C++ build errors, CMake issues, and linker problems incrementally. Invokes the cpp-build-resolver agent for minimal, surgical fixes.
cpp-review.md                                           | Comprehensive C++ code review for memory safety, modern C++ idioms, concurrency, and security. Invokes the cpp-reviewer agent.
cpp-test.md                                             | Enforce TDD workflow for C++. Write GoogleTest tests first, then implement. Verify coverage with gcov/lcov.
create_handoff.md                                       | 创建交接文档以将工作转移到另一个会话
create_plan_generic.md                                  | 通过充分研究和迭代创建详细实施计划
create_plan_nt.md                                       | 通过充分研究创建实施计划（无 thoughts 目录）
create_plan.md                                          | 通过交互式研究和迭代创建详细的实施计划
create_worktree.md                                      | 创建工作树（worktree）并启动实施会话执行计划
create-plugin.md                                        | 引导式端到端插件创建工作流 — 组件设计、实现与验证
create-pr.md                                            | Streamlines pull request creation by handling the entire workflow: creating a new branch, committing changes, formatting modified files with Biome, and submitting the PR.
create-release.md                                       | 创建新发布版本
cs-aeo.md                                               | "/cs:aeo — 回答引擎优化工作流。审计内容的 E-E-A-T + 结构信号以驱动 LLM 引用（ChatGPT/Perplexity/Claude/Gemini/Mistral）。在 3 种模式下优化（保守/平衡/激进）。通过本地账本追踪哪些 LLM 引用了哪些页面。包含 8 个行业的行业感知阈值（含 YMYL 校准）。与 SEO 有区别。"
cs-backend-review.md                                    | 后端工程评审 — 走过 Matt Pocock 7 个强制问题（读写比+QPS、租户、同步/异步、数据敏感性、模式、RPO/RTO、SLO），选择语言+模式配置，fork 出专项代理（api-design-reviewer、database-designer、migration-architect、slo-architect）。调用 cs-backend-engineer agent 并附带上下文 fork。
cs-engineer-grill.md                                    | "跨角色工程 grill — 每个角色 7 个 Matt Pocock 问题 × 3 角色（全栈/前端/后端）= 最多 21 个强制问题，每轮一个，配有规范引用和终止标准。默认先问哪个方向；`--all` 运行全部 21 个。"
cs-frontend-review.md                                   | 前端工程评审 — 走过 Matt Pocock 7 个强制问题（设备、LCP 目标、渲染、Bundle 预算、SEO vs 认证、设计系统、WCAG），选择框架+渲染配置，fork 出专项代理（a11y-audit、performance-profiler、epic-design）。调用 cs-frontend-engineer agent 并附带上下文 fork。
cs-fullstack-review.md                                  | 全栈工程评审 — 走过 Matt Pocock 7 个强制问题，选择配置，fork 出专项代理（api-design-reviewer、database-designer、slo-architect）。调用 cs-fullstack-engineer agent 并附带上下文 fork。
cs-webinar.md                                           | "/cs:webinar — 网络研讨会&虚拟活动营销工作流。从零规划研讨会（按业务目标倒推规模）、拯救效果不佳的活动（评分漏斗、修复瓶颈阶段）、或将过去的研讨会转化为 evergreen 点播线索引擎。涵盖完整漏斗：注册、推广预热、出席、现场互动、直播成交、细分跟进。将研讨会视为漏斗而非活动。"
database-migration.md                                   | 数据库迁移命令
ddd.md                                                  | 
debug.md                                                | "OMC debug 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:debug 命令"
dedupe.md                                               | 查找重复的 GitHub 问题
deep-dive.md                                            | "OMC deep-dive 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:deep-dive 命令"
deepinit.md                                             | "OMC deepinit 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:deepinit 命令"
deploy-release.md                                       | 将发布部署到下一个环境
deploy.md                                               | 提交、推送并部署当前更改
describe_pr_nt.md                                       | 为设计评审生成符合仓库模板的完整 PR 描述（去神经化主题）
describe_pr.md                                          | 为设计评审生成符合仓库模板的完整 PR 描述
devfleet.md                                             | Legacy slash-entry shim for the claude-devfleet skill. Prefer the skill directly.
diff-mode.md                                            | 
docs.md                                                 | Legacy slash-entry shim for the documentation-lookup skill. Prefer the skill directly.
documentation-generator.md                              | Generate comprehensive documentation for code and APIs
e2e.md                                                  | 使用 Playwright 生成并运行端到端测试。创建测试旅程、运行测试、捕获截图/视频/追踪，并上传产物。
ecc-guide.md                                            | Navigate ECC's current agents, skills, commands, hooks, install profiles, and docs from the live repository surface.
edit-insert.md                                          | Edit an existing insert. Change text content or manage insert-level conditions. Changes apply to all subscriptions that reference the insert.
epic-claim.md                                           | Claim an epic issue, stamp coordination state, and sync local ownership.
epic-decompose.md                                       | Break an epic into task children without creating task branches.
epic-publish.md                                         | Publish a validated epic update back to the issue and local cache.
epic-review.md                                          | Mark epic review requested, approved, or changes requested.
epic-sync.md                                            | Sync epic issue bodies, labels, and local coordination snapshots from GitHub.
epic-unblock.md                                         | Sweep blocked epic issues and reopen anything whose dependencies are closed.
epic-validate.md                                        | Validate epic readiness, dependencies, and coordination policy.
eval.md                                                 | 
evolve.md                                               | 分析直觉（Instincts）并建议或生成进化的结构
example-command.md                                      | 一个演示命令 frontmatter 选项的斜杠命令示例（旧格式）
execute-plan.md                                         | "已弃用 — 请改用 superpowers:executing-plans 技能"
explain.md                                              | 获取工作项并用通俗语言解释
external-context.md                                     | "OMC external-context 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:external-context 命令"
fastapi-review.md                                       | Review a FastAPI application for architecture, async correctness, dependency injection, Pydantic schemas, security, performance, and testability.
feature-dev.md                                          | 在理解代码库和架构关注下的引导式功能开发
feature-development.md                                  | 功能开发工作流
financial-health.md                                     | "运行财务比率分析、DCF 估值、预算差异分析和滚动预测。用法: /financial-health <ratios|dcf|budget|forecast> <data.json>"
fix-codesign-error.md                                   | 诊断并修复 macOS 代码签名错误
flag-cleanup.md                                         | 在当前仓库运行季度功能开关清理工作流
flutter-build.md                                        | Fix Dart analyzer errors and Flutter build failures incrementally. Invokes the dart-build-resolver agent for minimal, surgical fixes.
flutter-review.md                                       | Review Flutter/Dart code for idiomatic patterns, widget best practices, state management, performance, accessibility, and security. Invokes the flutter-reviewer agent.
flutter-test.md                                         | Run Flutter/Dart tests, report failures, and incrementally fix test issues. Covers unit, widget, golden, and integration tests.
focused-fix.md                                          | 深度功能修复 — 系统化修复整个功能/模块。用法: /focused-fix <feature-path>
founder_mode.md                                         | 为实验功能创建 Linear 工单和 PR
gan-build.md                                            | Run a generator/evaluator build loop for implementation tasks with bounded iterations and scoring.
gan-design.md                                           | Run a generator/evaluator design loop for frontend or visual work with bounded iterations and scoring.
go-build.md                                             | 增量修复 Go 构建错误、go vet 警告和 linter 问题。调用 go-build-resolver 智能体（Agent）进行最小化、外科手术式的修复。
go-review.md                                            | 针对地道模式、并发安全、错误处理和安全性的全面 Go 代码审查。调用 go-reviewer 智能体 (Agent)。
go-test.md                                              | 为 Go 强制执行测试驱动开发（TDD）工作流。先编写表格驱动测试（Table-Driven Tests），然后进行实现。使用 go test -cover 验证 80% 以上的覆盖率。
google-workspace.md                                     | "Google Workspace CLI — 设置诊断、安全审计、配方发现和输出分析。用法: /google-workspace <setup|audit|recipe|analyze> [options]"
gradle-build.md                                         | Fix Gradle build errors for Android and KMP projects
grafana.md                                              | 
grpc.md                                                 | 
gsd-init.md                                             | 
gsd-review.md                                           | 
gsd-session.md                                          | 
gsd-task.md                                             | 
gstack-deploy.md                                        | 
gstack-gen.md                                           | 
gstack-init.md                                          | 
harness-audit.md                                        | Run a deterministic repository harness audit and return a prioritized scorecard.
help.md                                                 | 获取 hookify 插件的帮助
hookify-configure.md                                    | Enable or disable hookify rules interactively
hookify-help.md                                         | Get help with the hookify system
hookify-list.md                                         | List all configured hookify rules
hookify.md                                              | 创建 hooks 防止对话分析/指令引起的不期望行为
hotfix-release.md                                       | 
hud.md                                                  | "OMC hud 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:hud 命令"
implement_plan.md                                       | 根据 thoughts/shared/plans 实施技术计划并验证
implement.md                                            | 通过处理和执行 tasks.md 中定义的所有任务来执行实施计划
instinct-export.md                                      | 将直觉（Instincts）从项目/全局作用域导出到文件
instinct-import.md                                      | 从文件或 URL 导入直觉（Instincts）到项目/全局作用域
instinct-status.md                                      | 显示已学习的直觉（项目 + 全局）及其置信度
iterate_plan_nt.md                                      | 通过充分研究迭代现有实施计划（无 thoughts 目录）
iterate_plan.md                                         | 通过充分研究和更新迭代现有实施计划
jira.md                                                 | Retrieve a Jira ticket, analyze requirements, update status, or add comments. Uses the jira-integration skill and MCP or REST API.
kafka.md                                                | 
karpathy-check.md                                       | 运行 Karpathy 四原则评审 — 检查暂存变更或最后提交（复杂度/diff 噪声/假设/目标验证）。用法 /karpathy-check [--last-commit]
kotlin-build.md                                         | Fix Kotlin/Gradle build errors, compiler warnings, and dependency issues incrementally. Invokes the kotlin-build-resolver agent for minimal, surgical fixes.
kotlin-review.md                                        | Comprehensive Kotlin code review for idiomatic patterns, null safety, coroutine safety, and security. Invokes the kotlin-reviewer agent.
kotlin-test.md                                          | Enforce TDD workflow for Kotlin. Write Kotest tests first, then implement. Verify 80%+ coverage with Kover.
label-issue.md                                          | 为 GitHub Issue 添加标签
learn-eval.md                                           | 从会话中提取可复用的模式（Patterns），在保存前进行质量自评，并确定合适的保存位置（全局 vs 项目）。
learn.md                                                | 
learner.md                                              | "OMC learner 兼容别名——兼容别名，转发到skillify"
linear.md                                               | 管理 Linear 工单 — 创建、更新、评论、遵循工作流模式
list-subs.md                                            | List all active skill-bus subscriptions across global and project scopes, showing merge status, insert-level and subscription-level conditions, effective condition stacking, and what would fire for each skill.
list.md                                                 | 列出所有已配置的 hookify 规则
llmops.md                                               | 
local_review.md                                         | 设置 worktree 以审查同事分支
local-capability-report.md                              | DogeCode Local Development Environment Core Technology Capabilities - MCP Engine / Bun Runtime / InkTUI Terminal UI / AI Agent Orchestration | Author: kaixings <...5@qq.com>
loop-start.md                                           | Start a managed autonomous loop pattern with safety defaults and explicit stop conditions.
loop-status.md                                          | Inspect active loop state, progress, failure signals, and recommended intervention.
marketing-campaign.md                                   | Plan and execute a full marketing campaign. Accepts a product brief and returns positioning, landing page copy, email sequence, social posts, ad variants, video scripts, and a content calendar. Can also review existing copy for conversion quality.
mcp-setup.md                                            | "OMC mcp-setup 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:mcp-setup 命令"
memory-search.md                                        | 
merge.md                                                | 
model-route.md                                          | Recommend the best model tier for the current task based on complexity, risk, and budget.
multi-backend.md                                        | 
multi-execute.md                                        | 
multi-frontend.md                                       | 
multi-plan.md                                           | 
multi-workflow.md                                       | 
new-sdk-app.md                                          | 创建并设置新的 Claude Agent SDK 应用
okr.md                                                  | "从公司战略到团队目标生成 OKR 级联。用法: /okr generate <strategy>"
omc-doctor.md                                           | "OMC omc-doctor 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:omc-doctor 命令"
omc-setup.md                                            | "OMC omc-setup 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:omc-setup 命令"
omc-teams.md                                            | "OMC omc-teams 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:omc-teams 命令"
onboard.md                                              | Guided setup — discover knowledge files, create subscriptions, enable telemetry, and close the feedback loop. Safe to re-run (additive).
oneshot_plan.md                                         | 执行ralph计划和单个工单的实现
oneshot.md                                              | 研究工单并启动规划会话
operator-audit.md                                       | 在当前仓库运行完整 Kubernetes Operator 审计（CRD+reconcile+capability）
opsx-approve.md                                         | 
opsx-propose.md                                         | 
opsx-review.md                                          | 
orch-add-feature.md                                     | Orchestrate building a brand-new feature end to end — research, plan, TDD, review, gated commit. Wrapper that kicks off the orch-add-feature skill.
orch-build-mvp.md                                       | Orchestrate bootstrapping a working MVP from a design/spec doc — ingest, slice, scaffold, TDD, review, gated commit (reuses the GAN harness). Wrapper for the orch-build-mvp skill.
orch-change-feature.md                                  | Orchestrate altering an existing, working feature to new desired behavior — update tests to the new spec, change impl, review, gated commit. Wrapper for the orch-change-feature skill.
orch-fix-defect.md                                      | Orchestrate fixing a bug — reproduce it as a failing regression test, fix to green, review, gated commit. Wrapper for the orch-fix-defect skill.
orch-refine-code.md                                     | Orchestrate a behavior-preserving refactor — confirm tests green, restructure without changing behavior, keep green, review, gated commit. Wrapper for the orch-refine-code skill.
orch-review.md                                          | Run the orch-review native Workflow over a diff (local changes or a GitHub PR) and report blocking vs advisory findings. Surface for the orch-review workflow.
orchestrate.md                                          | 
pause-subs.md                                           | Temporarily disable the skill bus. Quick toggle to stop all subscriptions from firing without removing them.
perf.md                                                 | Structured performance investigation with baselines, profiling, and evidence-backed decisions
persona.md                                              | "为 UX 研究和产品设计生成数据驱动的用户画像。用法: /persona generate [options]"
phone-agent.md                                          | 
pipeline.md                                             | "检测技术栈并生成 CI/CD 管道配置。用法: /pipeline <detect|generate> [options]"
plan-attest.md                                          | "使用 SHA-256 验证锁定当前 task_plan.md 内容。如果文件与验证哈希不一致，钩子将拒绝注入计划内容，阻止静默篡改。使用 --show 打印存储的哈希，--clear 移除验证。v2.37.0 起可用。"
plan-canvas.md                                          | Open a plan or HTML artifact in the browser Plan Canvas for annotate-and-approve review
plan-cpp-win.md                                         | "[项目生成器] Windows C++ 项目骨架生成 — 全行业覆盖，600+决策项，定向生成可运行半成品"
plan-goal.md                                            | "将 Claude Code 的 /goal 桥接到当前计划。从 task_plan.md 推导目标条件并调用 /goal，使 Claude 持续工作直到计划完成。v2.38.0 起可用。"
plan-loop.md                                            | "以规划感知的节奏运行 Claude Code 的 /loop。默认周期检查计划状态、运行 check-complete、在停滞时推动 progress.md 更新。v2.38.0 起可用。"
plan-prd.md                                             | "Generate a lean, problem-first PRD and hand off to /plan for implementation planning."
plan-status.md                                          | 检查发布、流水线或工作项的状态
plan-zh.md                                              | "启动 Manus 风格的文件规划。为复杂任务创建 task_plan.md、findings.md、progress.md。"
plan.md                                                 | Execute the implementation planning workflow using the plan template to generate design artifacts.
plugin-audit.md                                         | 在技能目录上运行完整 8 阶段插件审计流程。
pm2.md                                                  | 
pr-review.md                                            | Reviews pull request changes to provide feedback, check for issues, and suggest improvements before merging into the main codebase.
pr.md                                                   | "Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes"
prd.md                                                  | "门控式 PRD 生成 — 起草前先询问问题、用户和指标；信息不足不草拟。用法: /prd <feature-or-problem>"
prime.md                                                | 
project-health.md                                       | "组合健康仪表盘和风险矩阵分析。用法: /project-health <dashboard|risk> [options]"
project-init.md                                         | Detect a project's stack and produce a dry-run ECC onboarding plan using the repository's install manifests and stack mappings.
project-session-manager.md                              | "OMC project-session-manager 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:project-session-manager 命令"
projects.md                                             | 列出已知项目及其直觉（instinct）统计数据
prometheus.md                                           | 
promote.md                                              | 将代码从一个环境升级到下一个环境
prompt-optimize.md                                      | Legacy slash-entry shim for the prompt-optimizer skill. Prefer the skill directly.
prp-commit.md                                           | "Quick commit with natural language file targeting — describe what to commit in plain English"
prp-implement.md                                        | Execute an implementation plan with rigorous validation loops
prp-plan.md                                             | Create comprehensive feature implementation plan with codebase analysis and pattern extraction
prp-pr.md                                               | "Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes"
prp-prd.md                                              | "Interactive PRD generator - problem-first, hypothesis-driven product spec with back-and-forth questioning"
prune.md                                                | Delete pending instincts older than 30 days that were never promoted
psm.md                                                  | "OMC psm 兼容别名——兼容别名，转发到project-session-manager"
python-review.md                                        | 针对 PEP 8 合规性、类型提示、安全性和 Pythonic 风格的全面 Python 代码审查。调用 python-reviewer 智能体（Agent）。
quality-gate.md                                         | Run the ECC formatter quality gate for a single file and report remediation steps.
quote.md                                                | 获取工作项并显示为格式化的引用块
ralph_impl.md                                           | 使用工作树设置实现最高优先级的小型Linear工单
ralph_plan.md                                           | 为就绪规格的最高优先级 Linear 工单创建实施计划
ralph_research.md                                       | 研究需要调查的最高优先级 Linear 工单
ralph-loop.md                                           | "在当前会话中启动Ralph循环"
react-build.md                                          | Fix React build failures (Vite, webpack, Next.js, CRA, Parcel, esbuild, Bun) incrementally — JSX/TSX compile errors, hydration mismatches, server/client component boundary failures, missing types. Invokes the react-build-resolver agent for minimal, surgical fixes.
react-review.md                                         | Comprehensive React/JSX code review for hook correctness, render performance, server/client component boundaries, accessibility, and React-specific security. Invokes the react-reviewer agent (and typescript-reviewer alongside on TSX/JSX changes).
react-test.md                                           | Enforce TDD workflow for React. Write React Testing Library tests first (behavior-focused, accessibility-first), then implement components. Detects Vitest or Jest and verifies coverage targets.
README.md                                               | 
refactor-clean.md                                       | 
release.md                                              | "OMC release 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:release 命令"
remember.md                                             | 记住重要的用户偏好和上下文信息
remove-sub.md                                           | Unsubscribe from a skill event. Removes or disables subscriptions with scope-aware options.
report.md                                               | Review skill-bus telemetry — match counts, condition skips, no-coverage skills, and actionable suggestions. Helps identify which subscriptions fire, which are skipped, and where coverage gaps exist.
research_codebase_generic.md                            | 使用并行子代理全面研究代码库
research_codebase_nt.md                                 | 按现状记录代码库，不带评估或建议
research_codebase.md                                    | 按现状记录代码库（含 thoughts 目录历史上下文）
resume_handoff.md                                       | 从交接文档恢复工作，包含上下文分析和验证
resume-session.md                                       | Load the most recent session file from ~/.claude/session-data/ and resume work with full context from where the last session ended.
retro.md                                                | "分析迭代回顾中的模式与行动事项追踪。用法: /retro analyze <retro_data.json>"
review-pr.md                                            | 审查拉取请求（Pull Request）
review.md                                               | 推送前运行本地审查关卡。
revise-claude-md.md                                     | 用本次会话的经验教训更新 CLAUDE.md
rework.md                                               | 根据上次拉取请求的反馈重新处理工作项
rice.md                                                 | "RICE 功能优先级排序，含评分和容量规划。用法: /rice prioritize <features.csv> [options]"
rollback.md                                             | 回滚环境中的部署
rules-distill.md                                        | Legacy slash-entry shim for the rules-distill skill. Prefer the skill directly.
rust-build.md                                           | Fix Rust build errors, borrow checker issues, and dependency problems incrementally. Invokes the rust-build-resolver agent for minimal, surgical fixes.
rust-review.md                                          | Comprehensive Rust code review for ownership, lifetimes, error handling, unsafe usage, and idiomatic patterns. Invokes the rust-reviewer agent.
rust-test.md                                            | Enforce TDD workflow for Rust. Write tests first, then implement. Verify 80%+ coverage with cargo-llvm-cov.
saas-health.md                                          | "计算 SaaS 健康指标（ARR, MRR, churn, CAC, LTV, NRR）并对照行业标准进行基准测试。用法: /saas-health <metrics|quick-ratio|simulate> [options]"
santa-loop.md                                           | Adversarial dual-review convergence loop — two independent model reviewers must both approve before code ships.
save-session.md                                         | Save current session state to a dated file in ~/.claude/session-data/ so work can be resumed in a future session with full context.
sciomc.md                                               | "OMC sciomc 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:sciomc 命令"
security-scan.md                                        | 推送前运行安全扫描关卡。
security.md                                             | Run comprehensive security review
self-improve.md                                         | 自我改进——分析和优化自身性能
semantic-release.md                                     | 
sentry-error.md                                         | 
seo-auditor.md                                          | 扫描并优化文档 SEO — Meta 标签、可读性、关键词、失效链接、站点地图。
session-search.md                                       | 
sessions.md                                             | 
setup-pm.md                                             | 配置你偏好的包管理器 (npm/pnpm/yarn/bun)
setup.md                                                | Set up connect-apps - let Claude perform real actions in 500+ apps
ship-ci-review-loop.md                                  | 
ship-deployment.md                                      | 
ship-error-handling.md                                  | 
ship.md                                                 | Complete PR workflow from commit to production with validation
skill-create.md                                         | 分析本地 Git 历史以提取编码模式并生成 SKILL.md 文件。Skill Creator GitHub App 的本地版本。
skill-health.md                                         | Show skill portfolio health dashboard with charts and analytics
skill.md                                                | "OMC skill 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:skill 命令"
skillify.md                                             | "OMC skillify 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:skillify 命令"
slo-design.md                                           | 交互式向导 — 设计 SLO（SLI、目标、错误预算、burn-rate 告警）
sonarqube.md                                            | 
specify.md                                              | 用自然语言功能描述创建或更新功能规范。
speckit-plan.md                                         | 
speckit-review.md                                       | 
speckit-validate.md                                     | 
sprint-health.md                                        | "Sprint 健康评分和敏捷团队速度分析。用法: /sprint-health <analyze|velocity> [options]"
sprint-plan.md                                          | "容量门控迭代规划 — 在执行容量计算、带历史检查和就绪定义门控。用法: /sprint-plan <目标> [容量]"
status.md                                               | 检查发布、流水线或工作项的状态
tasks.md                                                | 根据现有设计工件生成按依赖排序的可执行 tasks.md。
taskstoissues.md                                        | 根据可用的设计工件，将现有任务转换为该功能可操作的、按依赖顺序排列的 GitHub 议题。
tc.md                                                   | "使用结构化记录、状态机和会话交接追踪技术变更。用法: /tc <init|create|update|status|resume|close|export|dashboard> [args]"
tdd.md                                                  | "运行红-绿-重构 TDD 工作流——先生成失败的测试，实现到通过，然后检查覆盖率缺口。用法: /tdd <generate|coverage|validate> [target]"
tech-debt.md                                            | "扫描、优先级排序和报告技术债务。用法: /tech-debt <scan|prioritize|report> [options]"
terraform.md                                            | 
test-coverage.md                                        | 
test-cpp-app.md                                         | 运行 macOS 测试并分析失败原因
time-command.md                                         | 显示巴基斯坦标准时间（PKT, UTC+5）的当前时间
trace.md                                                | "OMC trace 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:trace 命令"
triage-issue.md                                         | 检查 GitHub 问题并确定类型、优先级和后续操作
triage.md                                               | "分类和分流问题（Bug/改进），通过状态机进行管理，产生可操作的后续步骤"
unpause-subs.md                                         | Re-enable the skill bus after pausing. Restores subscription processing.
update-codemaps.md                                      | 
update-docs.md                                          | 更新所有相关的文档文件
user-story.md                                           | "生成包含验收标准和迭代计划的用户故事。用法: /user-story <generate|sprint> [options]"
validate_plan.md                                        | 根据计划验证实施，确认成功标准，识别问题
verify.md                                               | 
visual-verdict.md                                       | "OMC visual-verdict 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:visual-verdict 命令"
vue-review.md                                           | Comprehensive Vue.js code review for Composition API correctness, reactivity, composable patterns, template security, accessibility, and Vue-specific performance. Invokes the vue-reviewer agent (and typescript-reviewer alongside on .vue/.ts changes).
weather-orchestrator.md                                 | 获取迪拜天气并创建 SVG 天气卡片
wiki-ingest.md                                          | 将 raw/ 中的源文件导入 LLM Wiki — 读取、讨论、编写摘要页面，更新 5-15 页的交叉引用，重新生成索引，追加到日志。用法: /wiki-ingest <path-to-source>
